evid;dt;opid;dispid;rsname;mcssn;mcsname;msuid;msuname;grpname;typeid;direction;statusid;description;duration;notRead;recorded;media;extdispid;soundfile;trgid;trgname;grpid;loneworker;addInfo;sourceid;userName;source_name;target_name;source_uid;target_uid;channel_id;is_server_event
128359;2025-04-19 05:56:14.293;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (مرور فوشانة06);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مرور فوشانة06;All Call;dmr:11133006@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128360;2025-04-19 05:57:11.173;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (سيارة فرقة طريق عمومي المنيهلة34556);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة فرقة طريق عمومي المنيهلة34556;All Call;dmr:11092033@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128361;2025-04-19 05:57:21.610;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (سيارة فرقة طريق عمومي المنيهلة34556);3;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة فرقة طريق عمومي المنيهلة34556;All Call;dmr:11092033@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128362;2025-04-19 05:57:25.997;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (قاعة عمليات المنيهلة);2;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنيهلة;All Call;dmr:11092001@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128363;2025-04-19 05:57:30.610;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (سيارة فرقة طريق عمومي المنيهلة34556);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة فرقة طريق عمومي المنيهلة34556;All Call;dmr:11092033@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128364;2025-04-19 05:57:31.417;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (قاعة عمليات المنيهلة);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنيهلة;All Call;dmr:11092001@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128365;2025-04-19 05:57:32.117;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (سيارة فرقة طريق عمومي المنيهلة34556);6;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة فرقة طريق عمومي المنيهلة34556;All Call;dmr:11092033@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128366;2025-04-19 05:57:40.390;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (قاعة عمليات المنيهلة);3;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنيهلة;All Call;dmr:11092001@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128367;2025-04-19 05:57:42.137;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز أمن عمومي بومهل);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;All Call;dmr:11112001@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128368;2025-04-19 05:57:42.937;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز أمن عمومي بومهل);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;All Call;dmr:11112001@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128369;2025-04-19 05:57:43.693;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (سيارة فرقة طريق عمومي المنيهلة34556);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة فرقة طريق عمومي المنيهلة34556;All Call;dmr:11092033@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128370;2025-04-19 05:57:45.790;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (سيارة فرقة طريق عمومي المنيهلة34556);2;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة فرقة طريق عمومي المنيهلة34556;All Call;dmr:11092033@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128371;2025-04-19 05:57:51.310;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (سيارة فرقة طريق عمومي المنيهلة34556);6;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة فرقة طريق عمومي المنيهلة34556;All Call;dmr:11092033@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128372;2025-04-19 05:57:57.370;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (قاعة عمليات المنيهلة);4;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنيهلة;All Call;dmr:11092001@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128373;2025-04-19 05:59:23.957;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز أمن عمومي بومهل);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;All Call;dmr:11112001@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128374;2025-04-19 06:02:06.557;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (مركز مرور تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور تونس;All Call;dmr:11023004@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128375;2025-04-19 06:03:38.397;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (مركز مرور تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور تونس;All Call;dmr:11023004@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128376;2025-04-19 06:04:47.097;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (مركز مرور التضامن);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور التضامن;All Call;dmr:11073004@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128377;2025-04-19 06:05:37.377;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (قاعة عمليات منطقة المحمدية);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات منطقة المحمدية;All Call;dmr:11122000@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128378;2025-04-19 06:06:13.140;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (مركز مرور تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور تونس;All Call;dmr:11023004@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128379;2025-04-19 06:06:30.590;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (مركز مرور التضامن);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور التضامن;All Call;dmr:11073004@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128380;2025-04-19 06:09:44.097;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;1;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنطقة البحرية تونس;VOIX BEN AROUS;dmr:11817062@subscribers.global;dmr:6505@subscribers.global;19923168;0
128381;2025-04-19 06:09:44.097;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (قاعة عمليات المنطقة البحرية تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنطقة البحرية تونس;All Call;dmr:11817062@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128382;2025-04-19 06:10:00.587;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;1;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنطقة البحرية تونس;VOIX TUNIS;dmr:11817000@subscribers.global;dmr:6505@subscribers.global;17826016;0
128383;2025-04-19 06:10:00.587;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (قاعة عمليات المنطقة البحرية تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنطقة البحرية تونس;All Call;dmr:11817000@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128384;2025-04-19 06:10:03.363;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (قاعة عمليات المنطقة البحرية تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنطقة البحرية تونس;All Call;dmr:11817000@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128385;2025-04-19 06:10:03.897;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (قاعة عمليات المنطقة البحرية تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنطقة البحرية تونس;All Call;dmr:11817000@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128386;2025-04-19 06:10:09.107;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (قاعة عمليات المنطقة البحرية تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنطقة البحرية تونس;All Call;dmr:11817062@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128387;2025-04-19 06:10:10.550;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (قاعة عمليات المنطقة البحرية تونس);2;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنطقة البحرية تونس;All Call;dmr:11817062@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128388;2025-04-19 06:10:12.533;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (قاعة عمليات المنطقة البحرية تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنطقة البحرية تونس;All Call;dmr:11817062@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128389;2025-04-19 06:11:16.067;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز أمن عمومي بومهل);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;All Call;dmr:11112001@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128390;2025-04-19 06:11:37.007;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;3;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;34562سيارة التدخل بفوج نعسان;VOIX TUNIS;dmr:11105033@subscribers.global;dmr:6505@subscribers.global;17826016;0
128391;2025-04-19 06:18:19.960;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;1;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;فرقة الطريق العمومي المنيهلة;VOIX TUNIS;dmr:11092006@subscribers.global;dmr:6505@subscribers.global;17826016;0
128392;2025-04-19 06:20:05.610;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (قاعة عمليات منطقة المحمدية);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات منطقة المحمدية;All Call;dmr:11122000@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128393;2025-04-19 06:21:01.603;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز أمن عمومي بومهل);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;All Call;dmr:11112001@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128394;2025-04-19 06:22:22.640;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (مركز مرور تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور تونس;All Call;dmr:11023004@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128395;2025-04-19 06:26:34.340;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز أمن عمومي بومهل);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;All Call;dmr:11112001@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128396;2025-04-19 06:26:36.077;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز أمن عمومي بومهل);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;All Call;dmr:11112001@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128397;2025-04-19 06:26:41.953;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز أمن عمومي بومهل);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;All Call;dmr:11112001@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128398;2025-04-19 06:29:16.540;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (مركز مرور تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور تونس;All Call;dmr:11023004@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128399;2025-04-19 06:30:43.323;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (مركز مرور تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور تونس;All Call;dmr:11023004@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128400;2025-04-19 06:33:17.393;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;1;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور حدائق المنزه;VOIX TUNIS;dmr:11083010@subscribers.global;dmr:6505@subscribers.global;17826016;0
128401;2025-04-19 06:33:17.393;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (مركز مرور حدائق المنزه);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور حدائق المنزه;All Call;dmr:11083010@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128402;2025-04-19 06:44:45.097;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (فرقة الطريق العمومي المنيهلة);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;فرقة الطريق العمومي المنيهلة;All Call;dmr:11092008@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128403;2025-04-19 06:49:46.777;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (مركز مرور تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور تونس;All Call;dmr:11023004@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128404;2025-04-19 06:55:45.220;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;1;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;1603125;VOIX TUNIS;dmr:1603125@subscribers.global;dmr:6505@subscribers.global;17826016;0
128405;2025-04-19 06:55:45.220;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (1603125);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;1603125;All Call;dmr:1603125@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128406;2025-04-19 06:56:18.317;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز أمن عمومي بومهل);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;All Call;dmr:11112001@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128407;2025-04-19 06:56:34.510;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (مركز مرور تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور تونس;All Call;dmr:11023004@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128408;2025-04-19 06:58:21.307;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (مركز مرور تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور تونس;All Call;dmr:11023004@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128409;2025-04-19 07:00:53.387;1;bc0599df84a340d6a428da8322e22082;Central;511TSD5111;VOICE MANOUBA;NULL;NULL;;0;0;2;MANOUBA (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;فوج التدخل بالمرناقية;VOICE MANOUBA;dmr:11045009@subscribers.global;dmr:6505@subscribers.global;22020320;0
128410;2025-04-19 07:00:56.363;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4713;VOIX AFAMAR 2';NULL;NULL;;0;0;2;AFAMAR 2' (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;النقطة القارة بإستخلاص سيدي ثابت;VOIX AFAMAR 2';dmr:11007195@subscribers.global;dmr:16448250@subscribers.global;24117472;0
128411;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة فوج التدخل المركزي 27139;VOIX TUNIS;dmr:11003043@subscribers.global;dmr:6505@subscribers.global;17826016;0
128412;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة مركز أمن عمومي البساتين 26765;VOIX BEN AROUS;dmr:11112056@subscribers.global;dmr:6505@subscribers.global;19923168;0
128413;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة امن عمومي الرفاهة29509;VOIX TUNIS;dmr:11082033@subscribers.global;dmr:6505@subscribers.global;17826016;0
128414;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;النقطة القارة كلم22 برج السدرية;VOIX BEN AROUS;dmr:11113013@subscribers.global;dmr:6505@subscribers.global;19923168;0
128415;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;فرقة الطريق العمومي المنيهلة;VOIX TUNIS;dmr:11092006@subscribers.global;dmr:6505@subscribers.global;17826016;0
128416;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة أمن عمومي بومهل 29553;VOIX TUNIS;dmr:11112053@subscribers.global;dmr:6505@subscribers.global;17826016;0
128417;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة طريق عمومي بن عروس 27865;VOIX BEN AROUS;dmr:11112051@subscribers.global;dmr:6505@subscribers.global;19923168;0
128418;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;GEANT مركز الفضاء التجاري;VOIX TUNIS;dmr:11062032@subscribers.global;dmr:6505@subscribers.global;17826016;0
128419;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة طريق عمومي فوشانة 25648;VOIX BEN AROUS;dmr:11132033@subscribers.global;dmr:6505@subscribers.global;19923168;0
128420;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة أ ع مرناق 27779;VOIX BEN AROUS;dmr:11132037@subscribers.global;dmr:6505@subscribers.global;19923168;0
128421;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة امن عمومي شرفش;VOIX TUNIS;dmr:11062037@subscribers.global;dmr:6505@subscribers.global;17826016;0
128422;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;فرقة أمن عمومي التضامن;VOIX TUNIS;dmr:11072026@subscribers.global;dmr:6505@subscribers.global;17826016;0
128423;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور تونس;VOIX BEN AROUS;dmr:11023005@subscribers.global;dmr:6505@subscribers.global;19923168;0
128424;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنطقة البحرية تونس;VOIX BEN AROUS;dmr:11817062@subscribers.global;dmr:6505@subscribers.global;19923168;0
128425;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;اع مرناق;VOIX BEN AROUS;dmr:11132025@subscribers.global;dmr:6505@subscribers.global;19923168;0
128426;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور المحمدية;VOIX BEN AROUS;dmr:11123001@subscribers.global;dmr:6505@subscribers.global;19923168;0
128427;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات منطقة المحمدية;VOIX BEN AROUS;dmr:11122000@subscribers.global;dmr:6505@subscribers.global;19923168;0
128428;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مرور مرناق;VOIX BEN AROUS;dmr:11133009@subscribers.global;dmr:6505@subscribers.global;19923168;0
128429;2025-04-19 07:00:57.413;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;VOIX BEN AROUS;dmr:11112001@subscribers.global;dmr:6505@subscribers.global;19923168;0
